iter	Passed	Remaining
685	1170	535
686	1172	534
687	1173	532
688	1174	530
689	1175	528
690	1176	526
691	1178	524
692	1179	522
693	1180	520
694	1181	518
695	1182	516
696	1184	514
697	1185	512
698	1186	510
699	1187	508
700	1188	506
701	1189	504
702	1190	503
703	1192	501
704	1193	499
705	1194	497
706	1195	495
707	1196	493
708	1198	491
709	1199	489
710	1200	488
711	1202	486
712	1203	484
713	1204	482
714	1205	480
715	1206	478
716	1208	476
717	1209	474
718	1210	473
719	1211	471
720	1212	469
721	1213	467
722	1214	465
723	1216	463
724	1217	461
725	1218	459
726	1219	458
727	1221	456
728	1222	454
729	1223	452
730	1224	450
731	1226	449
732	1227	447
733	1229	445
734	1230	443
735	1231	441
736	1232	439
737	1233	438
738	1235	436
739	1236	434
740	1237	432
741	1238	430
742	1239	428
743	1240	426
744	1241	425
745	1242	423
746	1243	421
747	1244	419
748	1245	417
749	1247	415
750	1248	413
751	1249	411
752	1250	410
753	1251	408
754	1252	406
755	1253	404
756	1254	402
757	1255	400
758	1256	399
759	1257	397
760	1258	395
761	1260	393
762	1261	391
763	1262	390
764	1263	388
765	1265	386
766	1266	384
767	1267	383
768	1269	381
769	1270	379
770	1271	377
771	1272	375
772	1273	373
773	1274	372
774	1275	370
775	1276	368
776	1277	366
777	1279	364
778	1280	363
779	1281	361
780	1282	359
781	1283	357
782	1284	356
783	1285	354
784	1286	352
785	1287	350
786	1289	348
787	1290	347
788	1291	345
789	1292	343
790	1293	341
791	1294	340
792	1296	338
793	1297	336
794	1298	334
795	1300	333
796	1301	331
797	1302	329
798	1303	327
799	1304	326
800	1305	324
801	1306	322
802	1307	320
803	1309	319
804	1310	317
805	1310	315
806	1311	313
807	1312	311
808	1314	310
809	1315	308
810	1316	306
811	1317	305
812	1318	303
813	1320	301
814	1321	299
815	1322	298
816	1323	296
817	1323	294
818	1325	292
819	1326	291
820	1327	289
821	1328	287
822	1329	285
823	1330	284
824	1330	282
825	1332	280
826	1333	278
827	1333	277
828	1334	275
829	1335	273
830	1336	271
831	1337	270
832	1338	268
833	1339	266
834	1340	264
835	1341	263
836	1342	261
837	1344	259
838	1345	258
839	1346	256
840	1347	254
841	1348	252
842	1349	251
843	1350	249
844	1351	247
845	1352	246
846	1353	244
847	1354	242
848	1355	241
849	1356	239
850	1357	237
851	1358	236
852	1359	234
853	1360	232
854	1361	230
855	1362	229
856	1363	227
857	1364	225
858	1365	224
859	1366	222
860	1367	220
861	1367	218
862	1368	217
863	1370	215
864	1371	213
865	1372	212
866	1372	210
867	1373	208
868	1374	207
869	1375	205
870	1377	203
871	1378	202
872	1379	200
873	1380	198
874	1380	197
875	1382	195
876	1383	193
877	1384	192
878	1384	190
879	1385	188
880	1386	187
881	1388	185
882	1389	184
883	1390	182
884	1391	180
885	1392	179
886	1392	177
887	1393	175
888	1394	174
889	1395	172
890	1397	170
891	1397	169
892	1398	167
893	1399	165
894	1401	164
895	1403	162
896	1404	161
897	1404	159
898	1405	157
899	1407	156
900	1408	154
901	1409	153
902	1410	151
903	1411	149
904	1412	148
905	1413	146
906	1414	145
907	1415	143
908	1416	141
909	1417	140
910	1417	138
911	1418	136
912	1420	135
913	1421	133
914	1422	132
915	1423	130
916	1424	128
917	1425	127
918	1426	125
919	1427	124
920	1428	122
921	1429	120
922	1430	119
923	1431	117
924	1433	116
925	1434	114
926	1435	113
927	1436	111
928	1437	109
929	1438	108
930	1439	106
931	1440	105
932	1441	103
933	1442	101
934	1443	100
935	1444	98
936	1445	97
937	1446	95
938	1447	94
939	1448	92
940	1449	90
941	1450	89
942	1451	87
943	1452	86
944	1454	84
945	1454	83
946	1455	81
947	1456	79
948	1458	78
949	1458	76
950	1459	75
951	1460	73
952	1461	72
953	1462	70
954	1463	68
955	1464	67
956	1465	65
957	1466	64
958	1467	62
959	1468	61
960	1469	59
961	1471	58
962	1472	56
963	1473	55
964	1474	53
965	1474	51
966	1475	50
967	1476	48
968	1477	47
969	1478	45
970	1479	44
971	1480	42
972	1481	41
973	1482	39
974	1483	38
975	1484	36
976	1485	34
977	1486	33
978	1486	31
979	1488	30
980	1489	28
981	1490	27
982	1490	25
983	1491	24
984	1492	22
985	1493	21
986	1494	19
987	1495	18
988	1496	16
989	1497	15
990	1498	13
991	1499	12
992	1500	10
993	1501	9
994	1502	7
995	1503	6
996	1504	4
997	1505	3
998	1506	1
999	1506	0
